filename,size_gb,modified,hint,repo_to_create
mmproj-F16-Qwen3.8-27B-Cold-Fusion-GAIN-V1.1-NM-DAU-NEO-MAX-MTP.gguf,0.86,2026-08-19 20:45,unsloth/Qwen3.8-27B-Cold-Fusion-GAIN-V1.1-NM-DAU-NEO-MAX-NEO-MTP-GGUF (mmproj),
mmproj-F16-Qwen3.8-27B.gguf,0.86,2026-08-14 12:14,,
mmproj-F16.gguf,1.11,2026-09-05 13:37,unsloth/gemma-4-26B-A4B-it-GGUF (app dl Sep5),
mmproj-NEX-AGI_NEX-N2-MINI-BF16-nex-agi_Nex-N2-mini.gguf,0.84,2026-07-20 13:34,NEX-AGI/Nex-N2-mini-GGUF (mmproj),
mmproj-QWEN3.8-27B-UNCENSORED-HAUHAUCS-AGGRESSIVE-BF16-Qwen3.8-27B-Uncensored-HauhauCS-Aggressive-MTP.gguf,0.87,2026-08-17 21:32,HauhauCS/Qwen3.8-27B-Uncensored-HauhauCS-Aggressive-GGUF (mmproj),
mmproj-qwen2.5-omni-7b-f16.gguf,0.01,2026-07-17 18:56,,
mxbai-embed-large-v1.Q4_K_M.gguf,0.20,2026-07-17 18:56,mixedbread-ai/mxbai-embed-large-v1,
nex-agi_Nex-N2-mini-Q6_K_L.gguf,28.22,2026-07-20 13:58,NEX-AGI/Nex-N2-mini-GGUF,
ornith-1.0-35b-Q6_K.gguf,26.56,2026-07-17 19:00,ornith-ai/Ornith-1.0-35b-GGUF,
qwen2.5-omni-7b-q4_k_m.gguf,4.36,2026-07-17 19:01,,
